biosequence_name	is_covering	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
B2RUZ4	C	canonical	  1.000	  1.000	23	  6.518	5	1	1p36.32	3689352	3692546	+			B2RUZ4	16	2				SMIM1_HUMAN Small integral membrane protein 1 OS=Homo sapiens GN=SMIM1 PE=1 SV=1 CONCAT=3	Homo sapiens
Q99808	C	canonical	  1.000	  1.000	31	  1.464	10	6	6p21.1	44194876	44201878	+			Q99808	17	2				S29A1_HUMAN Equilibrative nucleoside transporter 1 OS=Homo sapiens GN=SLC29A1 PE=1 SV=3 CONCAT=6	Homo sapiens
Q9NX95	C	canonical	  1.000	  1.000	2	  0.059	2	8	8p22-q22.3	0	0	 			Q9NX95	18	8				SYBU_HUMAN Syntabulin OS=Homo sapiens GN=SYBU PE=1 SV=2 CONCAT=1	Homo sapiens
P55058	C	canonical	  1.000	  1.000	5	  0.170	4	20	20q12-q13.1	0	0	 			P55058	19	5				PLTP_HUMAN Phospholipid transfer protein OS=Homo sapiens GN=PLTP PE=1 SV=1 CONCAT=13	Homo sapiens
Q96ME7	C	canonical	  1.000	  1.000	7	  0.238	4	2	2p23.3	27805897	27846082	+			Q96ME7	20	5				ZN512_HUMAN Zinc finger protein 512 OS=Homo sapiens GN=ZNF512 PE=1 SV=2 CONCAT=1	Homo sapiens
P84103	C	canonical	  1.000	  1.000	211	 25.626	24	6	6p21.31	36562145	36573377	+			P84103	21	2				SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens GN=SRSF3 PE=1 SV=1 CONCAT=1	Homo sapiens
O75954	C	canonical	  1.000	  1.000	7	  0.595	3	12	12p13.32	3186543	3395724	+			O75954	22	2				TSN9_HUMAN Tetraspanin-9 OS=Homo sapiens GN=TSPAN9 PE=1 SV=1 CONCAT=1	Homo sapiens
Q9HCG8	C	canonical	  1.000	  1.000	7	  0.132	3	2	2q31.3	180809603	180871780	-			Q9HCG8	23	3				CWC22_HUMAN Pre-mRNA-splicing factor CWC22 homolog OS=Homo sapiens GN=CWC22 PE=1 SV=3 CONCAT=4	Homo sapiens
Q9UGM6	C	canonical	  1.000	  1.000	5	  0.250	3	1	1p12	119573844	119683294	-			Q9UGM6	24	3				SYWM_HUMAN Tryptophan--tRNA ligase, mitochondrial OS=Homo sapiens GN=WARS2 PE=1 SV=1 CONCAT=7	Homo sapiens
O60573	C	canonical	  1.000	  1.000	6	  0.425	3	2	2q37.1	233414762	233433920	+			O60573	25	6				IF4E2_HUMAN Eukaryotic translation initiation factor 4E type 2 OS=Homo sapiens GN=EIF4E2 PE=1 SV=1 CONCAT=1	Homo sapiens
Q9NYM9	C	canonical	  1.000	  1.000	2	  0.283	2	11	11p15.5	202926	207428	-			Q9NYM9	26	5				BET1L_HUMAN BET1-like protein OS=Homo sapiens GN=BET1L PE=1 SV=1 CONCAT=1	Homo sapiens
Q9H8Y5	C	canonical	  1.000	  1.000	8	  0.179	4	2	2q35	220094479	220101391	+			Q9H8Y5	27	2				ANKZ1_HUMAN Ankyrin repeat and zinc finger domain-containing protein 1 OS=Homo sapiens GN=ANKZF1 PE=1 SV=1 CONCAT=3	Homo sapiens
P15336	C	canonical	  1.000	  1.000	2	  0.081	2	2	2q32	0	0	 			P15336	28	12				ATF2_HUMAN Cyclic AMP-dependent transcription factor ATF-2 OS=Homo sapiens GN=ATF2 PE=1 SV=4 CONCAT=2	Homo sapiens
Q96S97	C	canonical	  1.000	  1.000	11	  0.935	3	19	19q13.42	54369611	54379682	+			Q96S97	29	7				MYADM_HUMAN Myeloid-associated differentiation marker OS=Homo sapiens GN=MYADM PE=1 SV=2 CONCAT=1	Homo sapiens
Q96D46	C	canonical	  1.000	  1.000	23	  0.724	2	3	3q26.1	160939078	160970095	+			Q96D46	30	2				NMD3_HUMAN 60S ribosomal export protein NMD3 OS=Homo sapiens GN=NMD3 PE=1 SV=1 CONCAT=3	Homo sapiens
P18564	C	canonical	  1.000	  1.000	15	  0.319	6	2	2q24.2	160956177	161056812	-			P18564	31	3				ITB6_HUMAN Integrin beta-6 OS=Homo sapiens GN=ITGB6 PE=1 SV=2 CONCAT=7	Homo sapiens
Q9Y291	C	canonical	  1.000	  1.000	2	  0.340	2	7	7q34	140705961	140714783	-			Q9Y291	32	3				RT33_HUMAN 28S ribosomal protein S33, mitochondrial OS=Homo sapiens GN=MRPS33 PE=1 SV=1 CONCAT=2	Homo sapiens
Q9NYR9	C	canonical	  1.000	  1.000	2	  0.142	2	17	17q21.2	40169038	40177659	+			Q9NYR9	33	6				KBRS2_HUMAN NF-kappa-B inhibitor-interacting Ras-like protein 2 OS=Homo sapiens GN=NKIRAS2 PE=1 SV=1 CONCAT=1	Homo sapiens
Q9UGP4	C	canonical	  1.000	  1.000	11	  0.275	7	3	3p21.31	45636351	45727830	+			Q9UGP4	34	2				LIMD1_HUMAN LIM domain-containing protein 1 OS=Homo sapiens GN=LIMD1 PE=1 SV=1 CONCAT=3	Homo sapiens
O75817	C	canonical	  1.000	  1.000	3	  0.425	2	7	7q22.1	100303676	100305118	+			O75817	35	2				POP7_HUMAN Ribonuclease P protein subunit p20 OS=Homo sapiens GN=POP7 PE=1 SV=2 CONCAT=1	Homo sapiens
Q6P5R6	C	canonical	  1.000	  1.000	2	  0.425	2	3	3q26.2	170582664	170588272	-			Q6P5R6	36	3				RL22L_HUMAN 60S ribosomal protein L22-like 1 OS=Homo sapiens GN=RPL22L1 PE=1 SV=2 CONCAT=2	Homo sapiens
P54922	C	canonical	  1.000	  1.000	2	  0.089	2	3	3q13.33	119298523	119308792	+			P54922	37	2				ADPRH_HUMAN [Protein ADP-ribosylarginine] hydrolase OS=Homo sapiens GN=ADPRH PE=1 SV=1 CONCAT=1	Homo sapiens
Q14728	C	canonical	  1.000	  1.000	3	  0.116	2	4	4p16.3	2932295	2936185	-			Q14728	38	4				MFS10_HUMAN Major facilitator superfamily domain-containing protein 10 OS=Homo sapiens GN=MFSD10 PE=2 SV=1 CONCAT=1	Homo sapiens
Q9Y6X4	C	canonical	  1.000	  1.000	13	  0.395	4	5	5q13.3	74076956	74162663	-			Q9Y6X4	39	2				F169A_HUMAN Soluble lamin-associated protein of 75 kDa OS=Homo sapiens GN=FAM169A PE=1 SV=2 CONCAT=1	Homo sapiens
Q9UNQ2	C	canonical	  1.000	  1.000	2	  0.081	2	5	5q12.1	61683081	61699760	-			Q9UNQ2	40	3				DIM1_HUMAN Probable dimethyladenosine transferase OS=Homo sapiens GN=DIMT1 PE=1 SV=1 CONCAT=1	Homo sapiens
Q99942	C	canonical	  1.000	  1.000	6	  0.567	2	6	6p21.32	32146131	32148570	+			Q99942	42	5				RNF5_HUMAN E3 ubiquitin-protein ligase RNF5 OS=Homo sapiens GN=RNF5 PE=1 SV=1 CONCAT=2	Homo sapiens
Q9UJ41	C	canonical	  1.000	  1.000	3	  0.071	3	7	7q11.21	66205720	66276451	+			Q9UJ41	43	8				RABX5_HUMAN Rab5 GDP/GTP exchange factor OS=Homo sapiens GN=RABGEF1 PE=1 SV=2 CONCAT=1	Homo sapiens
P62847	C	canonical	  1.000	  1.000	141	 19.979	13	10	10q22.3	79793641	79800455	+			P62847	44	6				RS24_HUMAN 40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1 CONCAT=1	Homo sapiens
Q9Y2E5	C	canonical	  1.000	  1.000	4	  0.076	4	4	4p16.1	6576902	6625089	+			Q9Y2E5	45	4				MA2B2_HUMAN Epididymis-specific alpha-mannosidase OS=Homo sapiens GN=MAN2B2 PE=1 SV=4 CONCAT=11	Homo sapiens
Q9Y2R5	C	canonical	  1.000	  1.000	8	  1.360	3	7	7p11.2	56019512	56024192	+			Q9Y2R5	46	3				RT17_HUMAN 28S ribosomal protein S17, mitochondrial OS=Homo sapiens GN=MRPS17 PE=2 SV=1 CONCAT=4	Homo sapiens
P78316	C	canonical	  1.000	  1.000	8	  0.162	6	4	4p16.3	2939669	2965095	-			P78316	47	3				NOP14_HUMAN Nucleolar protein 14 OS=Homo sapiens GN=NOP14 PE=1 SV=3 CONCAT=3	Homo sapiens
Q9UHI5	C	canonical	  1.000	  1.000	2	  0.077	2	14	14q11.2	0	0	 			Q9UHI5	48	4				LAT2_HUMAN Large neutral amino acids transporter small subunit 2 OS=Homo sapiens GN=SLC7A8 PE=1 SV=1 CONCAT=1	Homo sapiens
Q6SPF0	C	canonical	  1.000	  1.000	2	  0.071	2	19	19p13.12	0	0	 			Q6SPF0	49	2				SAMD1_HUMAN Atherin OS=Homo sapiens GN=SAMD1 PE=1 SV=1 CONCAT=2	Homo sapiens
Q5BJD5	C	canonical	  1.000	  1.000	17	  1.314	2	11	11p15.4	9302201	9336114	-			Q5BJD5	50	4				TM41B_HUMAN Transmembrane protein 41B OS=Homo sapiens GN=TMEM41B PE=1 SV=1 CONCAT=1	Homo sapiens
Q4G0X4	C	canonical	  1.000	  1.000	2	  0.131	2	11	11q14.1	77882295	77899868	-			Q4G0X4	51	5				KCD21_HUMAN BTB/POZ domain-containing protein KCTD21 OS=Homo sapiens GN=KCTD21 PE=2 SV=1 CONCAT=1	Homo sapiens
Q9NRX2	C	canonical	  1.000	  1.000	35	  2.289	2	11	11p15.4	6702013	6704632	-			Q9NRX2	52	2				RM17_HUMAN 39S ribosomal protein L17, mitochondrial OS=Homo sapiens GN=MRPL17 PE=1 SV=1 CONCAT=4	Homo sapiens
O43159	C	canonical	  1.000	  1.000	6	  0.204	3	11	11p15.4	6616305	6624850	-			O43159	53	2				RRP8_HUMAN Ribosomal RNA-processing protein 8 OS=Homo sapiens GN=RRP8 PE=1 SV=2 CONCAT=3	Homo sapiens
P43308	C	canonical	  1.000	  1.000	8	  1.360	4	1	1q22	155978839	155990750	-			P43308	54	3				SSRB_HUMAN Translocon-associated protein subunit beta OS=Homo sapiens GN=SSR2 PE=1 SV=1 CONCAT=6	Homo sapiens
Q9NQP4	C	canonical	  1.000	  1.000	23	  4.888	8	20	20q13.2	52824386	52836492	+			Q9NQP4	55	2				PFD4_HUMAN Prefoldin subunit 4 OS=Homo sapiens GN=PFDN4 PE=1 SV=1 CONCAT=2	Homo sapiens
P62861	C	canonical	  1.000	  1.000	21	  8.927	5	11	11q13.1	64888103	64889585	-			P62861	56	3				RS30_HUMAN 40S ribosomal protein S30 OS=Homo sapiens GN=FAU PE=1 SV=1 CONCAT=2	Homo sapiens
O75052	C	canonical	  1.000	  1.000	3	  0.085	3	1	1q23.3	162039566	162340265	+			O75052	57	3				CAPON_HUMAN Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein OS=Homo sapiens GN=NOS1AP PE=1 SV=3 CONCAT=1	Homo sapiens
P52569	C	canonical	  1.000	  1.000	21	  0.541	10	8	8p22	17396286	17428070	+			P52569	58	3				CTR2_HUMAN Low affinity cationic amino acid transporter 2 OS=Homo sapiens GN=SLC7A2 PE=1 SV=2 CONCAT=6	Homo sapiens
Q9UHR4	C	canonical	  1.000	  1.000	5	  0.137	5	7	7q21.3	97920963	98030380	-			Q9UHR4	59	1				BI2L1_HUMAN Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens GN=BAIAP2L1 PE=1 SV=2 CONCAT=2	Homo sapiens
Q9UMZ2	C	canonical	  1.000	  1.000	3	  0.040	3	17	17q12	35874900	35969544	-			Q9UMZ2	60	8				SYNRG_HUMAN Synergin gamma OS=Homo sapiens GN=SYNRG PE=1 SV=2 CONCAT=4	Homo sapiens
Q7KZN9	C	canonical	  1.000	  1.000	3	  0.121	3	10	10q24.2	101473272	101491857	-			Q7KZN9	61	2				COX15_HUMAN Cytochrome c oxidase assembly protein COX15 homolog OS=Homo sapiens GN=COX15 PE=1 SV=1 CONCAT=3	Homo sapiens
P82664	C	canonical	  1.000	  1.000	9	  0.638	7	6	6p21.1	42174539	42185603	-			P82664	62	1				RT10_HUMAN 28S ribosomal protein S10, mitochondrial OS=Homo sapiens GN=MRPS10 PE=1 SV=2 CONCAT=1	Homo sapiens
P08243	C	canonical	  1.000	  1.000	5	  0.133	5	7	7q21.3	0	0	 			P08243	63	3				ASNS_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens GN=ASNS PE=1 SV=4 CONCAT=7	Homo sapiens
Q9NQ88	C	canonical	  1.000	  1.000	20	  1.215	9	12	12p13.32	4430371	4462338	+			Q9NQ88	64	1				TIGAR_HUMAN Fructose-2,6-bisphosphatase TIGAR OS=Homo sapiens GN=TIGAR PE=1 SV=1 CONCAT=1	Homo sapiens
Q8IWX8	C	canonical	  1.000	  1.000	7	  0.149	5	19	19p13.11	16628700	16653341	-			Q8IWX8	65	2				CHERP_HUMAN Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens GN=CHERP PE=1 SV=3 CONCAT=2	Homo sapiens
P09105	C	canonical	  1.000	  1.000	5	  0.472	4	16	16p13.3	230452	231180	+			P09105	66	1				HBAT_HUMAN Hemoglobin subunit theta-1 OS=Homo sapiens GN=HBQ1 PE=1 SV=2 CONCAT=1	Homo sapiens
Q9NUG6	C	canonical	  1.000	  1.000	8	  0.850	3	20	20q11.21	30532758	30539895	-			Q9NUG6	67	1				PDRG1_HUMAN p53 and DNA damage-regulated protein 1 OS=Homo sapiens GN=PDRG1 PE=1 SV=2 CONCAT=1	Homo sapiens
Q9H501	C	canonical	  1.000	  1.000	8	  0.170	3	20	20p12.1	13694969	13765532	-			Q9H501	68	1				ESF1_HUMAN ESF1 homolog OS=Homo sapiens GN=ESF1 PE=1 SV=1 CONCAT=5	Homo sapiens
Q9NZD8	C	canonical	  1.000	  1.000	6	  0.283	3	15	15q22.31	65255362	65282274	-			Q9NZD8	69	3				SPG21_HUMAN Maspardin OS=Homo sapiens GN=SPG21 PE=1 SV=1 CONCAT=1	Homo sapiens
P35858	C	canonical	  1.000	  1.000	19	  0.557	12	16	16p13.3	1840414	1843764	-			P35858	70	2				ALS_HUMAN Insulin-like growth factor-binding protein complex acid labile subunit OS=Homo sapiens GN=IGFALS PE=1 SV=1 CONCAT=10	Homo sapiens
P05546	C	canonical	  1.000	  1.000	47	  1.427	20	22	22q11.21	21128167	21142008	+			P05546	71	1				HEP2_HUMAN Heparin cofactor 2 OS=Homo sapiens GN=SERPIND1 PE=1 SV=3 CONCAT=16	Homo sapiens
Q9NS69	C	canonical	  1.000	  1.000	116	 14.088	13	22	22q13.1	39077953	39080818	+			Q9NS69	72	1				TOM22_HUMAN Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens GN=TOMM22 PE=1 SV=3 CONCAT=2	Homo sapiens
Q15750	C	canonical	  1.000	  1.000	14	  0.458	8	22	22q13.1	39795746	39827887	+			Q15750	73	2				TAB1_HUMAN TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 OS=Homo sapiens GN=TAB1 PE=1 SV=1 CONCAT=2	Homo sapiens
P62877	C	canonical	  1.000	  1.000	12	  2.550	2	22	22q13.2	41347363	41369313	+			P62877	74	1				RBX1_HUMAN E3 ubiquitin-protein ligase RBX1 OS=Homo sapiens GN=RBX1 PE=1 SV=1 CONCAT=2	Homo sapiens
Q7RTV0	C	canonical	  1.000	  1.000	16	  1.700	8	22	22q13.2	41855721	41864729	-			Q7RTV0	75	1				PHF5A_HUMAN PHD finger-like domain-containing protein 5A OS=Homo sapiens GN=PHF5A PE=1 SV=1 CONCAT=2	Homo sapiens
Q9UBR2	C	canonical	  1.000	  1.000	207	 12.570	22	20	20q13.32	57570240	57582302	-			Q9UBR2	76	1				CATZ_HUMAN Cathepsin Z OS=Homo sapiens GN=CTSZ PE=1 SV=1 CONCAT=12	Homo sapiens
Q6UX06	C	canonical	  1.000	  1.000	10	  0.340	6	13	13q14.3	53602894	53626192	+			Q6UX06	77	1				OLFM4_HUMAN Olfactomedin-4 OS=Homo sapiens GN=OLFM4 PE=1 SV=1 CONCAT=8	Homo sapiens
O43325	C	canonical	  1.000	  1.000	2	  0.213	2	16	16p12.3	20912075	20936326	+			O43325	78	2				LYRM1_HUMAN LYR motif-containing protein 1 OS=Homo sapiens GN=LYRM1 PE=2 SV=1 CONCAT=1	Homo sapiens
Q9NVM6	C	canonical	  1.000	  1.000	4	  0.227	4	15	15q15.1	41060067	41099675	-			Q9NVM6	79	1				DJC17_HUMAN DnaJ homolog subfamily C member 17 OS=Homo sapiens GN=DNAJC17 PE=1 SV=1 CONCAT=1	Homo sapiens
Q9NWQ8	C	canonical	  1.000	  1.000	4	  0.179	3	8	8q21.13	81880045	82024303	-			Q9NWQ8	80	1				PHAG1_HUMAN Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 OS=Homo sapiens GN=PAG1 PE=1 SV=2 CONCAT=1	Homo sapiens
O75792	C	canonical	  1.000	  1.000	5	  0.266	3	19	19p13.2	12917394	12924451	+			O75792	81	1				RNH2A_HUMAN Ribonuclease H2 subunit A OS=Homo sapiens GN=RNASEH2A PE=1 SV=2 CONCAT=16	Homo sapiens
Q05315	C	canonical	  1.000	  1.000	7	  0.850	6	19	19q13.2	40221890	40228668	-			Q05315	82	1				LEG10_HUMAN Galectin-10 OS=Homo sapiens GN=CLC PE=1 SV=3 CONCAT=4	Homo sapiens
Q9Y3D6	C	canonical	  1.000	  1.000	158	 19.189	26	7	7q22.1	100882893	100888366	-			Q9Y3D6	83	1				FIS1_HUMAN Mitochondrial fission 1 protein OS=Homo sapiens GN=FIS1 PE=1 SV=2 CONCAT=1	Homo sapiens
Q9BYC8	C	canonical	  1.000	  1.000	2	  0.213	2	7	7p14.1	42971799	42977456	+			Q9BYC8	84	2				RM32_HUMAN 39S ribosomal protein L32, mitochondrial OS=Homo sapiens GN=MRPL32 PE=1 SV=1	Homo sapiens
P43652	C	canonical	  1.000	  1.000	52	  1.163	26	4	4q13.3	74347400	74369691	+			P43652	85	1				AFAM_HUMAN Afamin OS=Homo sapiens GN=AFM PE=1 SV=1 CONCAT=8	Homo sapiens
Q9P0S9	C	canonical	  1.000	  1.000	39	  6.631	6	6	6p24.2	10723208	10731362	+			Q9P0S9	86	1				TM14C_HUMAN Transmembrane protein 14C OS=Homo sapiens GN=TMEM14C PE=1 SV=1 CONCAT=5	Homo sapiens
Q9Y294	C	canonical	  1.000	  1.000	10	  0.945	2	6	6q22.31	119215384	119230332	+			Q9Y294	87	1				ASF1A_HUMAN Histone chaperone ASF1A OS=Homo sapiens GN=ASF1A PE=1 SV=1 CONCAT=1	Homo sapiens
Q9NPB0	C	canonical	  1.000	  1.000	2	  0.213	2	6	6p21.2	39071840	39082965	-			Q9NPB0	88	1				SMDC1_HUMAN SAYSvFN domain-containing protein 1 OS=Homo sapiens GN=SAYSD1 PE=2 SV=1 CONCAT=1	Homo sapiens
P25398	C	canonical	  1.000	  1.000	572	 69.470	30	6	6q23.2	133135580	133138703	+			P25398	89	1				RS12_HUMAN 40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3 CONCAT=2	Homo sapiens
P49863	C	canonical	  1.000	  1.000	3	  0.232	3	5	5q11.2	54320081	54330398	+			P49863	90	1				GRAK_HUMAN Granzyme K OS=Homo sapiens GN=GZMK PE=1 SV=1 CONCAT=10	Homo sapiens
Q9UIQ6	C	canonical	  1.000	  1.000	57	  0.914	33	5	5q15	96271168	96373219	+			Q9UIQ6	91	3				LCAP_HUMAN Leucyl-cystinyl aminopeptidase OS=Homo sapiens GN=LNPEP PE=1 SV=3 CONCAT=8	Homo sapiens
O43818	C	canonical	  1.000	  1.000	7	  0.229	4	3	3p21.2	51967446	51975957	-			O43818	92	1				U3IP2_HUMAN U3 small nucleolar RNA-interacting protein 2 OS=Homo sapiens GN=RRP9 PE=1 SV=1 CONCAT=4	Homo sapiens
Q96EP5	C	canonical	  1.000	  1.000	82	  5.809	9	19	19p13.3	1407612	1435686	+			Q96EP5	93	3				DAZP1_HUMAN DAZ-associated protein 1 OS=Homo sapiens GN=DAZAP1 PE=1 SV=1 CONCAT=2	Homo sapiens
P63313	C	canonical	  1.000	  1.000	120	 51.009	6	2	2p11.2	85132749	85133795	+			P63313	94	1				TYB10_HUMAN Thymosin beta-10 OS=Homo sapiens GN=TMSB10 PE=1 SV=2 CONCAT=4	Homo sapiens
Q9Y3B4	C	canonical	  1.000	  1.000	18	  1.913	6	2	2p21	0	0	 			Q9Y3B4	95	1				SF3B6_HUMAN Splicing factor 3B subunit 6 OS=Homo sapiens GN=SF3B6 PE=1 SV=1 CONCAT=1	Homo sapiens
P28330	C	canonical	  1.000	  1.000	51	  2.168	23	2	2q34	211052663	211090215	-			P28330	96	1				ACADL_HUMAN Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADL PE=2 SV=2 CONCAT=6	Homo sapiens
Q03701	C	canonical	  1.000	  1.000	5	  0.083	5	2	2p22.2	37428755	37458856	-			Q03701	97	2				CEBPZ_HUMAN CCAAT/enhancer-binding protein zeta OS=Homo sapiens GN=CEBPZ PE=1 SV=3 CONCAT=6	Homo sapiens
P49591	C	canonical	  1.000	  1.000	278	  8.753	66	1	1p13.3	109756540	109780742	+			P49591	98	2				SYSC_HUMAN Serine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=SARS PE=1 SV=3 CONCAT=1	Homo sapiens
O75379	C	canonical	  1.000	  1.000	2	  0.283	2	1	1q24.3	171669300	171711387	-			O75379	99	2				VAMP4_HUMAN Vesicle-associated membrane protein 4 OS=Homo sapiens GN=VAMP4 PE=1 SV=2 CONCAT=1	Homo sapiens
Q9NYY8	C	canonical	  1.000	  1.000	4	  0.079	4	2	2q33.3	207630081	207657233	+			Q9NYY8	100	2				FAKD2_HUMAN FAST kinase domain-containing protein 2 OS=Homo sapiens GN=FASTKD2 PE=1 SV=1 CONCAT=4	Homo sapiens
O76080	C	canonical	  1.000	  1.000	2	  0.155	2	9	9q21.13	74966341	74980163	-			O76080	101	2				ZFAN5_HUMAN AN1-type zinc finger protein 5 OS=Homo sapiens GN=ZFAND5 PE=1 SV=1 CONCAT=1	Homo sapiens
Q5EBL8	C	canonical	  1.000	  1.000	11	  1.336	5	X	Xq13.1	69506445	69509829	-			Q5EBL8	102	2				PDZ11_HUMAN PDZ domain-containing protein 11 OS=Homo sapiens GN=PDZD11 PE=1 SV=2 CONCAT=2	Homo sapiens
Q96RS6	C	canonical	  1.000	  1.000	7	  0.180	7	8	8q23.1	110253148	110346614	-			Q96RS6	103	3				NUDC1_HUMAN NudC domain-containing protein 1 OS=Homo sapiens GN=NUDCD1 PE=1 SV=2 CONCAT=5	Homo sapiens
P04040	C	canonical	  1.000	  1.000	8636	244.732	258	11	11p13	34460472	34493609	+			P04040	104	2				CATA_HUMAN Catalase OS=Homo sapiens GN=CAT PE=1 SV=3 CONCAT=2	Homo sapiens
P48960	C	canonical	  1.000	  1.000	8	  0.189	3	19	19p13.12	14492256	14519533	+			P48960	105	5				CD97_HUMAN CD97 antigen OS=Homo sapiens GN=CD97 PE=1 SV=4 CONCAT=9	Homo sapiens
O95396	C	canonical	  1.000	  1.000	13	  0.425	5	20	20q13.13	49575363	49577820	+			O95396	106	1				MOCS3_HUMAN Adenylyltransferase and sulfurtransferase MOCS3 OS=Homo sapiens GN=MOCS3 PE=1 SV=1 CONCAT=2	Homo sapiens
