biosequence_name	is_covering	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
Q8IXT5	C	canonical	  1.000	  1.000	6	  0.127	6	8	8q22.1	94741584	94753245	-			Q8IXT5	27	2				RB12B_HUMAN RNA-binding protein 12B OS=Homo sapiens GN=RBM12B PE=1 SV=2 CONCAT=4	Homo sapiens
P30876	C	canonical	  1.000	  1.000	20	  0.507	17	4	4q12	57845109	57897334	+			P30876	28	3				RPB2_HUMAN DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens GN=POLR2B PE=1 SV=1 CONCAT=1	Homo sapiens
Q9UKG9	C	canonical	  1.000	  1.000	3	  0.135	3	7	7q21.12	86975011	87029111	+			Q9UKG9	29	3				OCTC_HUMAN Peroxisomal carnitine O-octanoyltransferase OS=Homo sapiens GN=CROT PE=1 SV=2 CONCAT=3	Homo sapiens
P18754	C	canonical	  1.000	  1.000	5	  0.436	5	1	1p35.3	28844769	28864676	+			P18754	30	10				RCC1_HUMAN Regulator of chromosome condensation OS=Homo sapiens GN=RCC1 PE=1 SV=1 CONCAT=2	Homo sapiens
Q9H098	C	canonical	  1.000	  1.000	2	  0.393	2	10	10p13	14560559	14816896	-			Q9H098	31	7				F107B_HUMAN Protein FAM107B OS=Homo sapiens GN=FAM107B PE=1 SV=1 CONCAT=2	Homo sapiens
Q9C0D9	C	canonical	  1.000	  1.000	2	  0.242	2	2	2p23.3	26568982	26618759	+			Q9C0D9	32	4				EPT1_HUMAN Ethanolaminephosphotransferase 1 OS=Homo sapiens GN=EPT1 PE=1 SV=3 CONCAT=2	Homo sapiens
Q96HP4	C	canonical	  1.000	  1.000	2	  0.143	2	3	3p25.1	16306706	16347594	+			Q96HP4	33	3				OXND1_HUMAN Oxidoreductase NAD-binding domain-containing protein 1 OS=Homo sapiens GN=OXNAD1 PE=1 SV=1 CONCAT=9	Homo sapiens
P83731	C	canonical	  1.000	  1.000	29	  5.061	11	3	3q12.3	101399936	101405626	-			P83731	34	3				RL24_HUMAN 60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1 CONCAT=1	Homo sapiens
Q04900	C	canonical	  1.000	  1.000	4	  1.047	2	6	6q21	0	0	 			Q04900	35	5				MUC24_HUMAN Sialomucin core protein 24 OS=Homo sapiens GN=CD164 PE=1 SV=2 CONCAT=6	Homo sapiens
P10451	C	canonical	  1.000	  1.000	3	  0.362	2	4	4q21-q25	0	0	 			P10451	36	8				OSTP_HUMAN Osteopontin OS=Homo sapiens GN=SPP1 PE=1 SV=1 CONCAT=8	Homo sapiens
P15954	C	canonical	  1.000	  1.000	7	  2.199	2	5	5q14.3	85913721	85916779	+			P15954	37	3				COX7C_HUMAN Cytochrome c oxidase subunit 7C, mitochondrial OS=Homo sapiens GN=COX7C PE=1 SV=1 CONCAT=4	Homo sapiens
Q14728	C	canonical	  1.000	  1.000	5	  0.357	2	4	4p16.3	2932295	2936185	-			Q14728	38	4				MFS10_HUMAN Major facilitator superfamily domain-containing protein 10 OS=Homo sapiens GN=MFSD10 PE=2 SV=1 CONCAT=1	Homo sapiens
O75879	C	canonical	  1.000	  1.000	3	  0.157	3	4	4q31.3	152591656	152682175	-			O75879	39	3				GATB_HUMAN Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Homo sapiens GN=PET112 PE=1 SV=1 CONCAT=6	Homo sapiens
O00244	C	canonical	  1.000	  1.000	20	  7.853	8	5	5q33.1	151122384	151138210	-			O00244	42	3				ATOX1_HUMAN Copper transport protein ATOX1 OS=Homo sapiens GN=ATOX1 PE=1 SV=1 CONCAT=1	Homo sapiens
O95340	C	canonical	  1.000	  1.000	5	  0.238	4	10	10q23.2	89419370	89507462	+			O95340	43	4				PAPS2_HUMAN Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Homo sapiens GN=PAPSS2 PE=1 SV=2 CONCAT=7	Homo sapiens
P62847	C	canonical	  1.000	  1.000	34	  8.900	7	10	10q22.3	79793641	79800455	+			P62847	44	6				RS24_HUMAN 40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1 CONCAT=1	Homo sapiens
Q86V81	C	canonical	  1.000	  1.000	20	  2.244	10	17	17q25.3	79845713	79849462	-			Q86V81	45	2				THOC4_HUMAN THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3 CONCAT=2	Homo sapiens
Q13144	C	canonical	  1.000	  1.000	5	  0.245	5	3	3q27.1	183853052	183863098	+			Q13144	46	2				EI2BE_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens GN=EIF2B5 PE=1 SV=3 CONCAT=33	Homo sapiens
Q9Y2E5	C	canonical	  1.000	  1.000	12	  0.419	3	4	4p16.1	6576902	6625089	+			Q9Y2E5	47	4				MA2B2_HUMAN Epididymis-specific alpha-mannosidase OS=Homo sapiens GN=MAN2B2 PE=1 SV=4 CONCAT=11	Homo sapiens
Q9Y2R5	C	canonical	  1.000	  1.000	5	  1.571	3	7	7p11.2	56019512	56024192	+			Q9Y2R5	48	3				RT17_HUMAN 28S ribosomal protein S17, mitochondrial OS=Homo sapiens GN=MRPS17 PE=2 SV=1 CONCAT=4	Homo sapiens
O75694	C	canonical	  1.000	  1.000	8	  0.199	6	5	5p13.2	37288239	37371283	-			O75694	49	4				NU155_HUMAN Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1 CONCAT=1	Homo sapiens
P54105	C	canonical	  1.000	  1.000	3	  0.524	2	11	11q14.1	77325575	77348850	-			P54105	50	4				ICLN_HUMAN Methylosome subunit pICln OS=Homo sapiens GN=CLNS1A PE=1 SV=1 CONCAT=5	Homo sapiens
O96033	C	canonical	  1.000	  1.000	4	  1.047	3	5	5q11.2	52391509	52405601	-			O96033	51	2				MOC2A_HUMAN Molybdopterin synthase sulfur carrier subunit OS=Homo sapiens GN=MOCS2 PE=1 SV=1 CONCAT=4	Homo sapiens
O75907	C	canonical	  1.000	  1.000	2	  0.165	2	8	8q24.3	145539954	145550573	-			O75907	52	3				DGAT1_HUMAN Diacylglycerol O-acyltransferase 1 OS=Homo sapiens GN=DGAT1 PE=1 SV=2 CONCAT=1	Homo sapiens
Q5QJ74	C	canonical	  1.000	  1.000	4	  0.273	2	11	11q23.3	120894830	120961484	+			Q5QJ74	53	3				TBCEL_HUMAN Tubulin-specific chaperone cofactor E-like protein OS=Homo sapiens GN=TBCEL PE=2 SV=2 CONCAT=1	Homo sapiens
Q9NQP4	C	canonical	  1.000	  1.000	8	  3.141	3	20	20q13.2	52824386	52836492	+			Q9NQP4	54	2				PFD4_HUMAN Prefoldin subunit 4 OS=Homo sapiens GN=PFDN4 PE=1 SV=1 CONCAT=2	Homo sapiens
O75052	C	canonical	  1.000	  1.000	2	  0.105	2	1	1q23.3	162039566	162340265	+			O75052	55	3				CAPON_HUMAN Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein OS=Homo sapiens GN=NOS1AP PE=1 SV=3 CONCAT=1	Homo sapiens
Q7KZN9	C	canonical	  1.000	  1.000	8	  0.598	6	10	10q24.2	101473272	101491857	-			Q7KZN9	56	2				COX15_HUMAN Cytochrome c oxidase assembly protein COX15 homolog OS=Homo sapiens GN=COX15 PE=1 SV=1 CONCAT=3	Homo sapiens
P00480	C	canonical	  1.000	  1.000	6	  0.449	6	X	Xp11.4	38211798	38280703	+			P00480	57	1				OTC_HUMAN Ornithine carbamoyltransferase, mitochondrial OS=Homo sapiens GN=OTC PE=1 SV=3 CONCAT=126	Homo sapiens
P82664	C	canonical	  1.000	  1.000	10	  1.309	7	6	6p21.1	42174539	42185603	-			P82664	58	1				RT10_HUMAN 28S ribosomal protein S10, mitochondrial OS=Homo sapiens GN=MRPS10 PE=1 SV=2 CONCAT=1	Homo sapiens
P45973	C	canonical	  1.000	  1.000	7	  0.999	5	12	12q13.13	54624724	54673886	-			P45973	59	2				CBX5_HUMAN Chromobox protein homolog 5 OS=Homo sapiens GN=CBX5 PE=1 SV=1 CONCAT=1	Homo sapiens
P05546	C	canonical	  1.000	  1.000	46	  2.580	17	22	22q11.21	21128167	21142008	+			P05546	60	1				HEP2_HUMAN Heparin cofactor 2 OS=Homo sapiens GN=SERPIND1 PE=1 SV=3 CONCAT=16	Homo sapiens
P14174	C	canonical	  1.000	  1.000	157	 49.316	13	22	22q11.23	24236191	24237413	+			P14174	61	1				MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4 CONCAT=2	Homo sapiens
Q9NS69	C	canonical	  1.000	  1.000	77	 17.276	7	22	22q13.1	39077953	39080818	+			Q9NS69	62	1				TOM22_HUMAN Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens GN=TOMM22 PE=1 SV=3 CONCAT=2	Homo sapiens
P62877	C	canonical	  1.000	  1.000	12	  4.712	2	22	22q13.2	41347363	41369313	+			P62877	63	1				RBX1_HUMAN E3 ubiquitin-protein ligase RBX1 OS=Homo sapiens GN=RBX1 PE=1 SV=1 CONCAT=2	Homo sapiens
Q7RTV0	C	canonical	  1.000	  1.000	8	  1.571	3	22	22q13.2	41855721	41864729	-			Q7RTV0	64	1				PHF5A_HUMAN PHD finger-like domain-containing protein 5A OS=Homo sapiens GN=PHF5A PE=1 SV=1 CONCAT=2	Homo sapiens
P08311	C	canonical	  1.000	  1.000	12	  1.256	6	14	14q12	25042762	25045466	-			P08311	65	1				CATG_HUMAN Cathepsin G OS=Homo sapiens GN=CTSG PE=1 SV=2 CONCAT=11	Homo sapiens
Q9UNN8	C	canonical	  1.000	  1.000	8	  1.142	2	20	20q11.22	33759876	33765165	+			Q9UNN8	66	2				EPCR_HUMAN Endothelial protein C receptor OS=Homo sapiens GN=PROCR PE=1 SV=1 CONCAT=7	Homo sapiens
Q9UBR2	C	canonical	  1.000	  1.000	68	  7.629	11	20	20q13.32	57570240	57582302	-			Q9UBR2	67	1				CATZ_HUMAN Cathepsin Z OS=Homo sapiens GN=CTSZ PE=1 SV=1 CONCAT=12	Homo sapiens
Q9Y342	C	canonical	  1.000	  1.000	14	  3.141	3	16	16q13	57290004	57318599	-			Q9Y342	68	2				PLLP_HUMAN Plasmolipin OS=Homo sapiens GN=PLLP PE=1 SV=1 CONCAT=1	Homo sapiens
Q9HD89	C	canonical	  1.000	  1.000	3	  0.673	2	19	19p13.2	7733930	7735334	+			Q9HD89	69	1				RETN_HUMAN Resistin OS=Homo sapiens GN=RETN PE=2 SV=1 CONCAT=6	Homo sapiens
Q9BQD3	C	canonical	  1.000	  1.000	2	  0.449	2	19	19p13.11	18668598	18680188	+			Q9BQD3	70	9				KXDL1_HUMAN KxDL motif-containing protein 1 OS=Homo sapiens GN=KXD1 PE=1 SV=2 CONCAT=2	Homo sapiens
Q8NFZ8	C	canonical	  1.000	  1.000	3	  0.262	3	19	19q13.31	44126520	44143991	-			Q8NFZ8	71	1				CADM4_HUMAN Cell adhesion molecule 4 OS=Homo sapiens GN=CADM4 PE=1 SV=1 CONCAT=7	Homo sapiens
Q9Y3D6	C	canonical	  1.000	  1.000	40	  8.975	9	7	7q22.1	100882893	100888366	-			Q9Y3D6	72	1				FIS1_HUMAN Mitochondrial fission 1 protein OS=Homo sapiens GN=FIS1 PE=1 SV=2 CONCAT=1	Homo sapiens
Q9BYC8	C	canonical	  1.000	  1.000	2	  0.393	2	7	7p14.1	42971799	42977456	+			Q9BYC8	73	2				RM32_HUMAN 39S ribosomal protein L32, mitochondrial OS=Homo sapiens GN=MRPL32 PE=1 SV=1	Homo sapiens
Q9NZZ3	C	canonical	  1.000	  1.000	4	  0.897	2	9	9p13.3	33264940	33281537	+			Q9NZZ3	74	2				CHMP5_HUMAN Charged multivesicular body protein 5 OS=Homo sapiens GN=CHMP5 PE=1 SV=1 CONCAT=2	Homo sapiens
Q9HBL7	C	canonical	  1.000	  1.000	4	  0.698	3	9	9p24.1	5357973	5437878	-			Q9HBL7	75	1				PLRKT_HUMAN Plasminogen receptor (KT) OS=Homo sapiens GN=PLGRKT PE=1 SV=1 CONCAT=1	Homo sapiens
O60869	C	canonical	  1.000	  1.000	8	  1.256	5	9	9q34.3	139756571	139760738	-			O60869	76	3				EDF1_HUMAN Endothelial differentiation-related factor 1 OS=Homo sapiens GN=EDF1 PE=1 SV=1 CONCAT=2	Homo sapiens
P11678	C	canonical	  1.000	  1.000	6	  0.230	5	17	17q22	56270098	56282535	+			P11678	77	1				PERE_HUMAN Eosinophil peroxidase OS=Homo sapiens GN=EPX PE=1 SV=2 CONCAT=29	Homo sapiens
P43652	C	canonical	  1.000	  1.000	60	  2.480	25	4	4q13.3	74347400	74369691	+			P43652	78	1				AFAM_HUMAN Afamin OS=Homo sapiens GN=AFM PE=1 SV=1 CONCAT=8	Homo sapiens
Q9ULR3	C	canonical	  1.000	  1.000	2	  0.126	2	12	12q14.1	63037762	63328817	-			Q9ULR3	79	1				PPM1H_HUMAN Protein phosphatase 1H OS=Homo sapiens GN=PPM1H PE=1 SV=2 CONCAT=1	Homo sapiens
P25398	C	canonical	  1.000	  1.000	119	 26.700	12	6	6q23.2	133135580	133138703	+			P25398	80	1				RS12_HUMAN 40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3 CONCAT=2	Homo sapiens
Q9UIQ6	C	canonical	  1.000	  1.000	25	  0.741	15	5	5q15	96271168	96373219	+			Q9UIQ6	81	3				LCAP_HUMAN Leucyl-cystinyl aminopeptidase OS=Homo sapiens GN=LNPEP PE=1 SV=3 CONCAT=8	Homo sapiens
Q05086	C	canonical	  1.000	  1.000	5	  0.175	4	15	15q11-q13	0	0	 			Q05086	82	4				UBE3A_HUMAN Ubiquitin-protein ligase E3A OS=Homo sapiens GN=UBE3A PE=1 SV=4 CONCAT=7	Homo sapiens
Q96EP5	C	canonical	  1.000	  1.000	29	  3.796	3	19	19p13.3	1407612	1435686	+			Q96EP5	83	3				DAZP1_HUMAN DAZ-associated protein 1 OS=Homo sapiens GN=DAZAP1 PE=1 SV=1 CONCAT=2	Homo sapiens
P63313	C	canonical	  1.000	  1.000	6	  4.712	2	2	2p11.2	85132749	85133795	+			P63313	84	1				TYB10_HUMAN Thymosin beta-10 OS=Homo sapiens GN=TMSB10 PE=1 SV=2 CONCAT=4	Homo sapiens
O43639	C	canonical	  1.000	  1.000	3	  0.205	3	2	2q12.2	106361354	106510730	+			O43639	85	1				NCK2_HUMAN Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2 CONCAT=2	Homo sapiens
Q9BST9	C	canonical	  1.000	  1.000	3	  0.157	2	2	2p13.1	74653010	74667758	-			Q9BST9	86	4				RTKN_HUMAN Rhotekin OS=Homo sapiens GN=RTKN PE=1 SV=2 CONCAT=1	Homo sapiens
Q9Y3B4	C	canonical	  1.000	  1.000	11	  2.160	5	2	2p21	0	0	 			Q9Y3B4	87	1				SF3B6_HUMAN Splicing factor 3B subunit 6 OS=Homo sapiens GN=SF3B6 PE=1 SV=1 CONCAT=1	Homo sapiens
Q9UHY1	C	canonical	  1.000	  1.000	3	  0.236	2	2	2p23.3	27650657	27665126	+			Q9UHY1	88	3				NRBP_HUMAN Nuclear receptor-binding protein OS=Homo sapiens GN=NRBP1 PE=1 SV=1 CONCAT=5	Homo sapiens
P28330	C	canonical	  1.000	  1.000	29	  2.277	16	2	2q34	211052663	211090215	-			P28330	89	1				ACADL_HUMAN Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADL PE=2 SV=2 CONCAT=6	Homo sapiens
P24158	C	canonical	  1.000	  1.000	9	  1.414	3	19	19p13.3	0	0	 			P24158	90	2				PRTN3_HUMAN Myeloblastin OS=Homo sapiens GN=PRTN3 PE=1 SV=3 CONCAT=17	Homo sapiens
P49591	C	canonical	  1.000	  1.000	54	  3.141	26	1	1p13.3	109756540	109780742	+			P49591	91	2				SYSC_HUMAN Serine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=SARS PE=1 SV=3 CONCAT=1	Homo sapiens
Q9H1B7	C	canonical	  1.000	  1.000	5	  0.192	2	14	14q24.3	77490888	77495034	-			Q9H1B7	92	1				I2BPL_HUMAN Interferon regulatory factor 2-binding protein-like OS=Homo sapiens GN=IRF2BPL PE=1 SV=1 CONCAT=1	Homo sapiens
Q5EBL8	C	canonical	  1.000	  1.000	9	  2.019	5	X	Xq13.1	69506445	69509829	-			Q5EBL8	93	2				PDZ11_HUMAN PDZ domain-containing protein 11 OS=Homo sapiens GN=PDZD11 PE=1 SV=2 CONCAT=2	Homo sapiens
Q9Y3C5	C	canonical	  1.000	  1.000	3	  0.589	2	1	1p32.3	51701943	51739127	+			Q9Y3C5	94	1				RNF11_HUMAN RING finger protein 11 OS=Homo sapiens GN=RNF11 PE=1 SV=1 CONCAT=4	Homo sapiens
P48960	C	canonical	  1.000	  1.000	4	  0.175	3	19	19p13.12	14492256	14519533	+			P48960	95	5				CD97_HUMAN CD97 antigen OS=Homo sapiens GN=CD97 PE=1 SV=4 CONCAT=9	Homo sapiens
O00519	C	canonical	  1.000	  1.000	3	  0.175	2	1	1p33	46859937	46879517	+			O00519	96	1				FAAH1_HUMAN Fatty-acid amide hydrolase 1 OS=Homo sapiens GN=FAAH PE=1 SV=2 CONCAT=3	Homo sapiens
Q5JTZ9	C	canonical	  1.000	  1.000	11	  0.320	9	6	6p21.1	44267391	44281063	-			Q5JTZ9	97	1				SYAM_HUMAN Alanine--tRNA ligase, mitochondrial OS=Homo sapiens GN=AARS2 PE=1 SV=1 CONCAT=9	Homo sapiens
Q9NPY3	C	canonical	  1.000	  1.000	13	  0.704	6	20	20p11.21	23059986	23066977	-			Q9NPY3	98	2				C1QR1_HUMAN Complement component C1q receptor OS=Homo sapiens GN=CD93 PE=1 SV=3 CONCAT=9	Homo sapiens
P08579	C	canonical	  1.000	  1.000	22	  3.141	11	20	20p12.1	16710629	16722421	+			P08579	99	1				RU2B_HUMAN U2 small nuclear ribonucleoprotein B'' OS=Homo sapiens GN=SNRPB2 PE=1 SV=1 CONCAT=3	Homo sapiens
Q5JVF3	C	canonical	  1.000	  1.000	2	  0.108	2	13	13q34	0	0	 			Q5JVF3	100	6				PCID2_HUMAN PCI domain-containing protein 2 OS=Homo sapiens GN=PCID2 PE=1 SV=2 CONCAT=2	Homo sapiens
Q9ULZ3	C	canonical	  1.000	  1.000	5	  0.714	3	16	16p11.2	31212806	31214313	-			Q9ULZ3	101	3				ASC_HUMAN Apoptosis-associated speck-like protein containing a CARD OS=Homo sapiens GN=PYCARD PE=1 SV=2 CONCAT=1	Homo sapiens
Q05209	C	canonical	  1.000	  1.000	2	  0.070	2	7	7q11.23	0	0	 			Q05209	102	3				PTN12_HUMAN Tyrosine-protein phosphatase non-receptor type 12 OS=Homo sapiens GN=PTPN12 PE=1 SV=3 CONCAT=5	Homo sapiens
Q16864	C	canonical	  1.000	  1.000	44	  9.872	13	7	7q32.1	128502880	128505897	+			Q16864	103	2				VATF_HUMAN V-type proton ATPase subunit F OS=Homo sapiens GN=ATP6V1F PE=1 SV=2 CONCAT=3	Homo sapiens
Q7Z478	C	canonical	  1.000	  1.000	7	  0.147	7	5	5q11.2	54552073	54603550	-			Q7Z478	104	1				DHX29_HUMAN ATP-dependent RNA helicase DHX29 OS=Homo sapiens GN=DHX29 PE=1 SV=2 CONCAT=3	Homo sapiens
Q9BT73	C	canonical	  1.000	  1.000	3	  0.785	2	7	7p22.3	1607249	1610641	-			Q9BT73	105	1				PSMG3_HUMAN Proteasome assembly chaperone 3 OS=Homo sapiens GN=PSMG3 PE=1 SV=1 CONCAT=1	Homo sapiens
Q2M3D2	C	canonical	  1.000	  1.000	6	  0.449	5	19	19q13.32	45715879	45735138	-			Q2M3D2	106	1				EX3L2_HUMAN Exocyst complex component 3-like protein 2 OS=Homo sapiens GN=EXOC3L2 PE=2 SV=1 CONCAT=2	Homo sapiens
Q10589	C	canonical	  1.000	  1.000	58	  9.109	2	19	19p13.11	17513748	17516457	-			Q10589	107	3				BST2_HUMAN Bone marrow stromal antigen 2 OS=Homo sapiens GN=BST2 PE=1 SV=1 CONCAT=6	Homo sapiens
