biosequence_name	is_covering	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
Q8IY57	C	canonical	  1.000	  1.000	3	  0.664	3	12	12q12	42553704	42632089	-			Q8IY57	11	6				YAF2_HUMAN YY1-associated factor 2 OS=Homo sapiens GN=YAF2 PE=1 SV=3 CONCAT=1	Homo sapiens
P21926	C	canonical	  1.000	  1.000	10	  2.214	2	12	12p13.31	6309615	6347425	+			P21926	12	3				CD9_HUMAN CD9 antigen OS=Homo sapiens GN=CD9 PE=1 SV=4 CONCAT=2	Homo sapiens
O60831	C	canonical	  1.000	  1.000	16	  4.132	3	X	Xp11.23	48928813	48931730	-			O60831	13	2				PRAF2_HUMAN PRA1 family protein 2 OS=Homo sapiens GN=PRAF2 PE=1 SV=1 CONCAT=2	Homo sapiens
Q9Y343	C	canonical	  1.000	  1.000	2	  0.282	2	5	5q23.2	122181144	122344907	+			Q9Y343	14	3				SNX24_HUMAN Sorting nexin-24 OS=Homo sapiens GN=SNX24 PE=1 SV=1 CONCAT=1	Homo sapiens
A8MXV4	C	canonical	  1.000	  1.000	12	  1.094	8	19	19q13.11	33182867	33204702	+			A8MXV4	15	1				NUD19_HUMAN Nucleoside diphosphate-linked moiety X motif 19, mitochondrial OS=Homo sapiens GN=NUDT19 PE=1 SV=1 CONCAT=5	Homo sapiens
B0YJ81	C	canonical	  1.000	  1.000	4	  0.563	3	10	10p12.33	17631958	17659376	-			B0YJ81	16	1				HACD1_HUMAN Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 1 OS=Homo sapiens GN=PTPLA PE=1 SV=1 CONCAT=5	Homo sapiens
Q7L3B6	C	canonical	  1.000	  1.000	2	  0.163	2	9	9p24.1	4679566	4708398	+			Q7L3B6	17	2				CD37L_HUMAN Hsp90 co-chaperone Cdc37-like 1 OS=Homo sapiens GN=CDC37L1 PE=1 SV=1 CONCAT=2	Homo sapiens
Q12983	C	canonical	  1.000	  1.000	3	  0.387	2	10	10q26.3	133781578	133795435	-			Q12983	18	3				BNIP3_HUMAN BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 OS=Homo sapiens GN=BNIP3 PE=1 SV=2 CONCAT=1	Homo sapiens
O15084	C	canonical	  1.000	  1.000	7	  0.231	5	3	3p25.1	15708743	15838028	-			O15084	19	5				ANR28_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens GN=ANKRD28 PE=1 SV=5 CONCAT=1	Homo sapiens
O95235	C	canonical	  1.000	  1.000	4	  0.126	4	5	5q31.2	137514687	137523404	+			O95235	20	2				KI20A_HUMAN Kinesin-like protein KIF20A OS=Homo sapiens GN=KIF20A PE=1 SV=1 CONCAT=5	Homo sapiens
Q9Y6I8	C	canonical	  1.000	  1.000	3	  0.358	2	20	20q11.22	32295075	32308125	-			Q9Y6I8	21	3				PXMP4_HUMAN Peroxisomal membrane protein 4 OS=Homo sapiens GN=PXMP4 PE=1 SV=3 CONCAT=3	Homo sapiens
Q5VXT5	C	canonical	  1.000	  1.000	4	  0.620	3	1	1p13.3	110009250	110024759	+			Q5VXT5	22	3				SYPL2_HUMAN Synaptophysin-like protein 2 OS=Homo sapiens GN=SYPL2 PE=2 SV=1 CONCAT=1	Homo sapiens
Q15629	C	canonical	  1.000	  1.000	4	  0.413	3	8	8q13.3	71485677	71520604	-			Q15629	23	3				TRAM1_HUMAN Translocating chain-associated membrane protein 1 OS=Homo sapiens GN=TRAM1 PE=1 SV=3 CONCAT=2	Homo sapiens
P84103	C	canonical	  1.000	  1.000	148	 32.761	20	6	6p21.31	36562145	36573377	+			P84103	24	2				SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens GN=SRSF3 PE=1 SV=1 CONCAT=1	Homo sapiens
Q53QV2	C	canonical	  1.000	  1.000	11	  3.409	2	2	2p23.1	30454397	30482894	+			Q53QV2	25	3				LBH_HUMAN Protein LBH OS=Homo sapiens GN=LBH PE=1 SV=1 CONCAT=1	Homo sapiens
O75954	C	canonical	  1.000	  1.000	5	  0.775	3	12	12p13.32	3186543	3395724	+			O75954	26	2				TSN9_HUMAN Tetraspanin-9 OS=Homo sapiens GN=TSPAN9 PE=1 SV=1 CONCAT=1	Homo sapiens
Q32P44	C	canonical	  1.000	  1.000	3	  0.099	3	11	11q12.3	62369690	62380237	-			Q32P44	27	7				EMAL3_HUMAN Echinoderm microtubule-associated protein-like 3 OS=Homo sapiens GN=EML3 PE=1 SV=1 CONCAT=2	Homo sapiens
Q9H8M1	C	canonical	  1.000	  1.000	10	  0.861	5	2	2q33.1	198318147	198340032	+			Q9H8M1	28	4				CQ10B_HUMAN Coenzyme Q-binding protein COQ10 homolog B, mitochondrial OS=Homo sapiens GN=COQ10B PE=2 SV=1 CONCAT=4	Homo sapiens
B7ZBB8	C	canonical	  1.000	  1.000	3	  0.258	3	6	6p25.1	5085720	5087455	+			B7ZBB8	29	1				PP13G_HUMAN Protein phosphatase 1 regulatory subunit 3G OS=Homo sapiens GN=PPP1R3G PE=3 SV=1 CONCAT=2	Homo sapiens
Q9Y4Y9	C	canonical	  1.000	  1.000	14	  7.231	2	7	7p14.3	32526641	32529712	-			Q9Y4Y9	30	2				LSM5_HUMAN U6 snRNA-associated Sm-like protein LSm5 OS=Homo sapiens GN=LSM5 PE=1 SV=3 CONCAT=2	Homo sapiens
Q8NBF6	C	canonical	  1.000	  1.000	5	  0.235	2	7	7p14.3	32535101	32628333	+			Q8NBF6	31	5				AVL9_HUMAN Late secretory pathway protein AVL9 homolog OS=Homo sapiens GN=AVL9 PE=1 SV=1 CONCAT=2	Homo sapiens
P84101	C	canonical	  1.000	  1.000	2	  1.549	2	15	15q15.3	44084040	44086793	+			P84101	32	9				SERF2_HUMAN Small EDRK-rich factor 2 OS=Homo sapiens GN=SERF2 PE=1 SV=1 CONCAT=2	Homo sapiens
Q3ZCW2	C	canonical	  1.000	  1.000	9	  1.268	3	2	2p14	64681226	64688515	+			Q3ZCW2	33	4				LEGL_HUMAN Galectin-related protein OS=Homo sapiens GN=LGALSL PE=1 SV=2 CONCAT=2	Homo sapiens
Q9BVC5	C	canonical	  1.000	  1.000	2	  0.207	2	2	2q12.1	105953816	105965668	+			Q9BVC5	34	3				ASHWN_HUMAN Ashwin OS=Homo sapiens GN=C2orf49 PE=1 SV=1 CONCAT=2	Homo sapiens
Q96D46	C	canonical	  1.000	  1.000	5	  0.287	2	3	3q26.1	160939078	160970095	+			Q96D46	35	2				NMD3_HUMAN 60S ribosomal export protein NMD3 OS=Homo sapiens GN=NMD3 PE=1 SV=1 CONCAT=3	Homo sapiens
P78330	C	canonical	  1.000	  1.000	10	  1.192	7	7	7p11.2	56078760	56119297	-			P78330	36	2				SERB_HUMAN Phosphoserine phosphatase OS=Homo sapiens GN=PSPH PE=1 SV=2 CONCAT=4	Homo sapiens
Q13685	C	canonical	  1.000	  1.000	3	  0.258	3	2	2q35	219128850	219134980	-			Q13685	37	5				AAMP_HUMAN Angio-associated migratory cell protein OS=Homo sapiens GN=AAMP PE=1 SV=2 CONCAT=2	Homo sapiens
O00192	C	canonical	  1.000	  1.000	13	  0.411	10	22	22q11.21	19957419	20004331	-			O00192	38	4				ARVC_HUMAN Armadillo repeat protein deleted in velo-cardio-facial syndrome OS=Homo sapiens GN=ARVCF PE=1 SV=1 CONCAT=8	Homo sapiens
P12107	C	canonical	  1.000	  1.000	6	  0.096	4	1	1p21	0	0	 			P12107	39	6				COBA1_HUMAN Collagen alpha-1(XI) chain OS=Homo sapiens GN=COL11A1 PE=1 SV=4 CONCAT=34	Homo sapiens
P83731	C	canonical	  1.000	  1.000	63	 10.846	17	3	3q12.3	101399936	101405626	-			P83731	40	3				RL24_HUMAN 60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1 CONCAT=1	Homo sapiens
Q7Z422	C	canonical	  1.000	  1.000	2	  0.387	2	1	1p36.13	16693578	16724637	+			Q7Z422	41	8				SZRD1_HUMAN SUZ domain-containing protein 1 OS=Homo sapiens GN=SZRD1 PE=1 SV=1 CONCAT=1	Homo sapiens
P02746	C	canonical	  1.000	  1.000	38	  4.529	4	1	1p36.12	22979682	22988029	+			P02746	42	4				C1QB_HUMAN Complement C1q subcomponent subunit B OS=Homo sapiens GN=C1QB PE=1 SV=3 CONCAT=8	Homo sapiens
Q6NW29	C	canonical	  1.000	  1.000	3	  0.581	2	4	4q35.1	184560788	184580378	-			Q6NW29	43	5				RWDD4_HUMAN RWD domain-containing protein 4 OS=Homo sapiens GN=RWDD4 PE=1 SV=3 CONCAT=3	Homo sapiens
Q14728	C	canonical	  1.000	  1.000	8	  0.563	2	4	4p16.3	2932295	2936185	-			Q14728	44	4				MFS10_HUMAN Major facilitator superfamily domain-containing protein 10 OS=Homo sapiens GN=MFSD10 PE=2 SV=1 CONCAT=1	Homo sapiens
Q9Y6X4	C	canonical	  1.000	  1.000	4	  0.221	2	5	5q13.3	74076956	74162663	-			Q9Y6X4	45	2				F169A_HUMAN Soluble lamin-associated protein of 75 kDa OS=Homo sapiens GN=FAM169A PE=1 SV=2 CONCAT=1	Homo sapiens
Q99942	C	canonical	  1.000	  1.000	2	  0.344	2	6	6p21.32	32146131	32148570	+			Q99942	46	5				RNF5_HUMAN E3 ubiquitin-protein ligase RNF5 OS=Homo sapiens GN=RNF5 PE=1 SV=1 CONCAT=2	Homo sapiens
Q9P0K7	C	canonical	  1.000	  1.000	37	  0.972	30	5	5p13.2	34656342	34832732	+			Q9P0K7	47	5				RAI14_HUMAN Ankycorbin OS=Homo sapiens GN=RAI14 PE=1 SV=2 CONCAT=5	Homo sapiens
Q14691	C	canonical	  1.000	  1.000	4	  0.477	2	20	20p11.21	25388363	25429191	+			Q14691	48	3				PSF1_HUMAN DNA replication complex GINS protein PSF1 OS=Homo sapiens GN=GINS1 PE=1 SV=1 CONCAT=2	Homo sapiens
O95340	C	canonical	  1.000	  1.000	15	  0.704	9	10	10q23.2	89419370	89507462	+			O95340	49	4				PAPS2_HUMAN Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Homo sapiens GN=PAPSS2 PE=1 SV=2 CONCAT=7	Homo sapiens
P62847	C	canonical	  1.000	  1.000	77	 19.885	9	10	10q22.3	79793641	79800455	+			P62847	50	6				RS24_HUMAN 40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1 CONCAT=1	Homo sapiens
Q96PZ0	C	canonical	  1.000	  1.000	3	  0.126	3	7	7q22.3	105096958	105162705	-			Q96PZ0	51	2				PUS7_HUMAN Pseudouridylate synthase 7 homolog OS=Homo sapiens GN=PUS7 PE=1 SV=2 CONCAT=1	Homo sapiens
O95251	C	canonical	  1.000	  1.000	3	  0.160	3	17	17q21.33	47865917	47906458	+			O95251	52	7				KAT7_HUMAN Histone acetyltransferase KAT7 OS=Homo sapiens GN=KAT7 PE=1 SV=1 CONCAT=1	Homo sapiens
Q9H490	C	canonical	  1.000	  1.000	5	  0.553	3	20	20q11.22	33148346	33264889	-			Q9H490	53	4				PIGU_HUMAN Phosphatidylinositol glycan anchor biosynthesis class U protein OS=Homo sapiens GN=PIGU PE=1 SV=3 CONCAT=2	Homo sapiens
E7EW31	C	canonical	  1.000	  1.000	27	  0.775	17	5	5q31.2	138727635	138730885	-			E7EW31	54	1				PROB1_HUMAN Proline-rich basic protein 1 OS=Homo sapiens GN=PROB1 PE=2 SV=2 CONCAT=1	Homo sapiens
Q8WTW3	C	canonical	  1.000	  1.000	5	  0.136	3	17	17q25.1	71189129	71204646	+			Q8WTW3	55	3				COG1_HUMAN Conserved oligomeric Golgi complex subunit 1 OS=Homo sapiens GN=COG1 PE=1 SV=1 CONCAT=5	Homo sapiens
Q9BUI4	C	canonical	  1.000	  1.000	4	  0.200	4	1	1q21.1	145592605	145610884	-			Q9BUI4	56	2				RPC3_HUMAN DNA-directed RNA polymerase III subunit RPC3 OS=Homo sapiens GN=POLR3C PE=1 SV=1 CONCAT=2	Homo sapiens
Q96SJ8	C	canonical	  1.000	  1.000	3	  0.516	2	11	11p11.2	44785976	44953972	+			Q96SJ8	57	4				TSN18_HUMAN Tetraspanin-18 OS=Homo sapiens GN=TSPAN18 PE=2 SV=1 CONCAT=2	Homo sapiens
Q9NQP4	C	canonical	  1.000	  1.000	28	 10.846	7	20	20q13.2	52824386	52836492	+			Q9NQP4	58	2				PFD4_HUMAN Prefoldin subunit 4 OS=Homo sapiens GN=PFDN4 PE=1 SV=1 CONCAT=2	Homo sapiens
P62861	C	canonical	  1.000	  1.000	14	 10.846	5	11	11q13.1	64888103	64889585	-			P62861	59	3				RS30_HUMAN 40S ribosomal protein S30 OS=Homo sapiens GN=FAU PE=1 SV=1 CONCAT=2	Homo sapiens
Q9H6T3	C	canonical	  1.000	  1.000	5	  0.221	3	12	12q13.11	48057070	48099844	-			Q9H6T3	60	3				RPAP3_HUMAN RNA polymerase II-associated protein 3 OS=Homo sapiens GN=RPAP3 PE=1 SV=2 CONCAT=3	Homo sapiens
Q92567	C	canonical	  1.000	  1.000	2	  0.344	2	11	11q13.4	73111532	73309234	-			Q92567	61	2				F168A_HUMAN Protein FAM168A OS=Homo sapiens GN=FAM168A PE=1 SV=2 CONCAT=1	Homo sapiens
O94804	C	canonical	  1.000	  1.000	9	  0.303	9	5	5q35.1	171469077	171615390	-			O94804	62	1				STK10_HUMAN Serine/threonine-protein kinase 10 OS=Homo sapiens GN=STK10 PE=1 SV=1 CONCAT=13	Homo sapiens
P05546	C	canonical	  1.000	  1.000	61	  3.376	12	22	22q11.21	21128167	21142008	+			P05546	63	1				HEP2_HUMAN Heparin cofactor 2 OS=Homo sapiens GN=SERPIND1 PE=1 SV=3 CONCAT=16	Homo sapiens
P14174	C	canonical	  1.000	  1.000	79	 24.482	9	22	22q11.23	24236191	24237413	+			P14174	64	1				MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4 CONCAT=2	Homo sapiens
Q9NS69	C	canonical	  1.000	  1.000	60	 13.281	8	22	22q13.1	39077953	39080818	+			Q9NS69	65	1				TOM22_HUMAN Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens GN=TOMM22 PE=1 SV=3 CONCAT=2	Homo sapiens
P62877	C	canonical	  1.000	  1.000	19	  7.360	6	22	22q13.2	41347363	41369313	+			P62877	66	1				RBX1_HUMAN E3 ubiquitin-protein ligase RBX1 OS=Homo sapiens GN=RBX1 PE=1 SV=1 CONCAT=2	Homo sapiens
Q7RTV0	C	canonical	  1.000	  1.000	15	  2.905	6	22	22q13.2	41855721	41864729	-			Q7RTV0	67	1				PHF5A_HUMAN PHD finger-like domain-containing protein 5A OS=Homo sapiens GN=PHF5A PE=1 SV=1 CONCAT=2	Homo sapiens
P08311	C	canonical	  1.000	  1.000	8	  0.826	7	14	14q12	25042762	25045466	-			P08311	68	1				CATG_HUMAN Cathepsin G OS=Homo sapiens GN=CTSG PE=1 SV=2 CONCAT=11	Homo sapiens
Q9UNN8	C	canonical	  1.000	  1.000	8	  1.127	3	20	20q11.22	33759876	33765165	+			Q9UNN8	69	2				EPCR_HUMAN Endothelial protein C receptor OS=Homo sapiens GN=PROCR PE=1 SV=1 CONCAT=7	Homo sapiens
Q96KM6	C	canonical	  1.000	  1.000	3	  0.113	3	20	20q13.33	62588055	62669938	-			Q96KM6	70	1				Z512B_HUMAN Zinc finger protein 512B OS=Homo sapiens GN=ZNF512B PE=1 SV=1 CONCAT=4	Homo sapiens
Q9UBR2	C	canonical	  1.000	  1.000	104	 11.510	12	20	20q13.32	57570240	57582302	-			Q9UBR2	71	1				CATZ_HUMAN Cathepsin Z OS=Homo sapiens GN=CTSZ PE=1 SV=1 CONCAT=12	Homo sapiens
Q9H444	C	canonical	  1.000	  1.000	30	  3.576	8	20	20q11.22	32399110	32442172	+			Q9H444	72	1				CHM4B_HUMAN Charged multivesicular body protein 4b OS=Homo sapiens GN=CHMP4B PE=1 SV=1 CONCAT=4	Homo sapiens
P18428	C	canonical	  1.000	  1.000	51	  4.159	7	20	20q11.23	36974759	37005665	+			P18428	73	2				LBP_HUMAN Lipopolysaccharide-binding protein OS=Homo sapiens GN=LBP PE=1 SV=3 CONCAT=21	Homo sapiens
Q8TB36	C	canonical	  1.000	  1.000	4	  0.413	4	8	8q21.11	75262617	75279111	+			Q8TB36	74	2				GDAP1_HUMAN Ganglioside-induced differentiation-associated protein 1 OS=Homo sapiens GN=GDAP1 PE=1 SV=3 CONCAT=7	Homo sapiens
Q9NQT4	C	canonical	  1.000	  1.000	4	  0.516	2	19	19q13.2	41892279	41903384	-			Q9NQT4	75	3				EXOS5_HUMAN Exosome complex component RRP46 OS=Homo sapiens GN=EXOSC5 PE=1 SV=1 CONCAT=5	Homo sapiens
O75792	C	canonical	  1.000	  1.000	12	  1.162	7	19	19p13.2	12917394	12924451	+			O75792	76	1				RNH2A_HUMAN Ribonuclease H2 subunit A OS=Homo sapiens GN=RNASEH2A PE=1 SV=2 CONCAT=16	Homo sapiens
P31944	C	canonical	  1.000	  1.000	3	  0.310	3	19	19p13.12	15163015	15166900	+			P31944	77	1				CASPE_HUMAN Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2 CONCAT=3	Homo sapiens
Q9Y3X0	C	canonical	  1.000	  1.000	6	  0.387	5	19	19q13.32	47759716	47775210	+			Q9Y3X0	78	2				CCDC9_HUMAN Coiled-coil domain-containing protein 9 OS=Homo sapiens GN=CCDC9 PE=1 SV=1 CONCAT=4	Homo sapiens
Q9Y3D6	C	canonical	  1.000	  1.000	67	 14.831	14	7	7q22.1	100882893	100888366	-			Q9Y3D6	79	1				FIS1_HUMAN Mitochondrial fission 1 protein OS=Homo sapiens GN=FIS1 PE=1 SV=2 CONCAT=1	Homo sapiens
Q9BYC8	C	canonical	  1.000	  1.000	3	  0.581	2	7	7p14.1	42971799	42977456	+			Q9BYC8	80	2				RM32_HUMAN 39S ribosomal protein L32, mitochondrial OS=Homo sapiens GN=MRPL32 PE=1 SV=1	Homo sapiens
Q9HBL7	C	canonical	  1.000	  1.000	12	  2.066	6	9	9p24.1	5357973	5437878	-			Q9HBL7	81	1				PLRKT_HUMAN Plasminogen receptor (KT) OS=Homo sapiens GN=PLGRKT PE=1 SV=1 CONCAT=1	Homo sapiens
Q7Z417	C	canonical	  1.000	  1.000	4	  0.200	3	17	17q11.2	27582854	27621136	-			Q7Z417	82	1				NUFP2_HUMAN Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens GN=NUFIP2 PE=1 SV=1 CONCAT=1	Homo sapiens
Q9UHJ6	C	canonical	  1.000	  1.000	9	  0.606	5	17	17p13.2	3511556	3539616	-			Q9UHJ6	83	1				SHPK_HUMAN Sedoheptulokinase OS=Homo sapiens GN=SHPK PE=1 SV=3 CONCAT=5	Homo sapiens
Q15768	C	canonical	  1.000	  1.000	3	  0.232	3	17	17p13.1	7608520	7614696	+			Q15768	84	1				EFNB3_HUMAN Ephrin-B3 OS=Homo sapiens GN=EFNB3 PE=1 SV=1 CONCAT=7	Homo sapiens
P43652	C	canonical	  1.000	  1.000	29	  1.183	16	4	4q13.3	74347400	74369691	+			P43652	85	1				AFAM_HUMAN Afamin OS=Homo sapiens GN=AFM PE=1 SV=1 CONCAT=8	Homo sapiens
Q9P0S9	C	canonical	  1.000	  1.000	16	  4.958	3	6	6p24.2	10723208	10731362	+			Q9P0S9	86	1				TM14C_HUMAN Transmembrane protein 14C OS=Homo sapiens GN=TMEM14C PE=1 SV=1 CONCAT=5	Homo sapiens
Q9Y294	C	canonical	  1.000	  1.000	6	  1.033	3	6	6q22.31	119215384	119230332	+			Q9Y294	87	1				ASF1A_HUMAN Histone chaperone ASF1A OS=Homo sapiens GN=ASF1A PE=1 SV=1 CONCAT=1	Homo sapiens
Q9NQE9	C	canonical	  1.000	  1.000	18	  3.099	6	6	6q22.32	126277927	126301387	+			Q9NQE9	88	1				HINT3_HUMAN Histidine triad nucleotide-binding protein 3 OS=Homo sapiens GN=HINT3 PE=1 SV=1 CONCAT=4	Homo sapiens
P25398	C	canonical	  1.000	  1.000	195	 43.164	18	6	6q23.2	133135580	133138703	+			P25398	89	1				RS12_HUMAN 40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3 CONCAT=2	Homo sapiens
Q92506	C	canonical	  1.000	  1.000	63	  6.973	10	HSCHR6_MHC_QBL	HSCHR6_MHC_QBLp21.32	33101245	33103438	+			Q92506	90	1				DHB8_HUMAN Estradiol 17-beta-dehydrogenase 8 OS=Homo sapiens GN=HSD17B8 PE=1 SV=2 CONCAT=3	Homo sapiens
P28300	C	canonical	  1.000	  1.000	3	  0.245	2	5	5q23.1	121398890	121413980	-			P28300	91	2				LYOX_HUMAN Protein-lysine 6-oxidase OS=Homo sapiens GN=LOX PE=1 SV=2 CONCAT=10	Homo sapiens
Q9UIQ6	C	canonical	  1.000	  1.000	93	  2.719	27	5	5q15	96271168	96373219	+			Q9UIQ6	92	3				LCAP_HUMAN Leucyl-cystinyl aminopeptidase OS=Homo sapiens GN=LNPEP PE=1 SV=3 CONCAT=8	Homo sapiens
O43818	C	canonical	  1.000	  1.000	9	  0.536	8	3	3p21.2	51967446	51975957	-			O43818	93	1				U3IP2_HUMAN U3 small nucleolar RNA-interacting protein 2 OS=Homo sapiens GN=RRP9 PE=1 SV=1 CONCAT=4	Homo sapiens
Q9Y3B4	C	canonical	  1.000	  1.000	18	  3.486	8	2	2p21	0	0	 			Q9Y3B4	94	1				SF3B6_HUMAN Splicing factor 3B subunit 6 OS=Homo sapiens GN=SF3B6 PE=1 SV=1 CONCAT=1	Homo sapiens
P49591	C	canonical	  1.000	  1.000	126	  7.231	32	1	1p13.3	109756540	109780742	+			P49591	95	2				SYSC_HUMAN Serine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=SARS PE=1 SV=3 CONCAT=1	Homo sapiens
O95926	C	canonical	  1.000	  1.000	3	  0.516	2	1	1p36.11	25549170	25558984	-			O95926	96	2				SYF2_HUMAN Pre-mRNA-splicing factor SYF2 OS=Homo sapiens GN=SYF2 PE=1 SV=1 CONCAT=3	Homo sapiens
Q08AD1	C	canonical	  1.000	  1.000	4	  0.079	3	1	1q32.1	200708907	200829829	+			Q08AD1	97	3				CAMP2_HUMAN Calmodulin-regulated spectrin-associated protein 2 OS=Homo sapiens GN=CAMSAP2 PE=1 SV=3 CONCAT=6	Homo sapiens
Q9NYY8	C	canonical	  1.000	  1.000	6	  0.216	5	2	2q33.3	207630081	207657233	+			Q9NYY8	98	2				FAKD2_HUMAN FAST kinase domain-containing protein 2 OS=Homo sapiens GN=FASTKD2 PE=1 SV=1 CONCAT=4	Homo sapiens
Q5EBL8	C	canonical	  1.000	  1.000	8	  1.771	5	X	Xq13.1	69506445	69509829	-			Q5EBL8	99	2				PDZ11_HUMAN PDZ domain-containing protein 11 OS=Homo sapiens GN=PDZD11 PE=1 SV=2 CONCAT=2	Homo sapiens
P25208	C	canonical	  1.000	  1.000	2	  0.516	2	12	12q23.3	104510855	104532067	-			P25208	100	2				NFYB_HUMAN Nuclear transcription factor Y subunit beta OS=Homo sapiens GN=NFYB PE=1 SV=2 CONCAT=1	Homo sapiens
Q6P4A8	C	canonical	  1.000	  1.000	4	  0.248	3	12	12p13.1	14656595	14721283	-			Q6P4A8	101	1				PLBL1_HUMAN Phospholipase B-like 1 OS=Homo sapiens GN=PLBD1 PE=1 SV=2 CONCAT=17	Homo sapiens
P04040	C	canonical	  1.000	  1.000	545	 28.149	54	11	11p13	34460472	34493609	+			P04040	102	2				CATA_HUMAN Catalase OS=Homo sapiens GN=CAT PE=1 SV=3 CONCAT=2	Homo sapiens
Q16647	C	canonical	  1.000	  1.000	34	  1.951	15	20	20q13.13	48120411	48184683	-			Q16647	103	1				PTGIS_HUMAN Prostacyclin synthase OS=Homo sapiens GN=PTGIS PE=1 SV=1 CONCAT=9	Homo sapiens
O95396	C	canonical	  1.000	  1.000	6	  0.358	5	20	20q13.13	49575363	49577820	+			O95396	104	1				MOCS3_HUMAN Adenylyltransferase and sulfurtransferase MOCS3 OS=Homo sapiens GN=MOCS3 PE=1 SV=1 CONCAT=2	Homo sapiens
Q5JTZ9	C	canonical	  1.000	  1.000	15	  0.430	11	6	6p21.1	44267391	44281063	-			Q5JTZ9	105	1				SYAM_HUMAN Alanine--tRNA ligase, mitochondrial OS=Homo sapiens GN=AARS2 PE=1 SV=1 CONCAT=9	Homo sapiens
