NextprotID	SeqLength	MW	IsoPoint	TMDomains	SubcellLocations	Diseases	ProteinExistence	Chr
NX_Q7Z3Y8	459	49822	4.98	0	Cytoplasm	NA	PE1	17
NX_Q7Z3Y9	468	51911	4.86	0	NA	NA	PE1	17
NX_Q7Z3Z0	450	49318	5	0	Cytoplasm	Woolly hair autosomal recessive 3	PE1	17
NX_Q7Z3Z2	195	22704	7.73	0	NA	Leber congenital amaurosis 12	PE1	1
NX_Q7Z3Z3	882	101089	9.56	0	Cytoplasm	NA	PE1	22
NX_Q7Z3Z4	852	96589	9.09	0	Nucleus;Cytoplasm	NA	PE1	11
NX_Q7Z401	1863	209244	7.07	0	Nucleus;Nucleolus;Nucleus	NA	PE1	15
NX_Q7Z402	723	83502	8.74	9	Membrane;Cytoplasmic vesicle	NA	PE1	16
NX_Q7Z403	805	90045	8.98	10	Endoplasmic reticulum membrane	Epidermodysplasia verruciformis	PE1	17
NX_Q7Z404	712	79208	9.16	9	Membrane	NA	PE1	19
NX_Q7Z406	1995	227871	5.52	0	Nucleoplasm	Deafness, autosomal dominant, 4A;Peripheral neuropathy, myopathy, hoarseness, and hearing loss	PE1	19
NX_Q7Z407	3707	406000	5.63	2	Cell membrane	NA	PE1	8
NX_Q7Z408	3487	380039	5.69	1	Cell membrane	NA	PE1	1
NX_Q7Z410	1059	114021	8.46	1	Cell membrane	NA	PE1	19
NX_Q7Z412	305	33898	5.94	1	Peroxisome membrane	Peroxisome biogenesis disorder 7A;Peroxisome biogenesis disorder complementation group 8;Peroxisome biogenesis disorder 7B	PE1	22
NX_Q7Z417	695	76121	8.7	0	Cytosol;Nucleus;Nucleoplasm;Cytoplasm;Nucleus	NA	PE1	17
NX_Q7Z418	384	43671	6.6	4	Cell membrane	Migraine with or without aura 13	PE1	10
NX_Q7Z419	303	33697	7.62	1	Mitochondrion;Nucleolus;Mitochondrion membrane;Cytoplasm	NA	PE1	6
NX_Q7Z422	152	16997	8.92	0	Nucleoplasm;Cytosol	NA	PE1	1
NX_Q7Z429	371	41203	5.21	7	Nucleolus;Cytosol;Membrane	NA	PE1	8
NX_Q7Z434	540	56528	5.36	1	Mitochondrion outer membrane;Mitochondrion;Peroxisome;Mitochondrion	NA	PE1	20
NX_Q7Z442	2459	272575	5.54	12	Membrane	NA	PE1	16
NX_Q7Z443	1732	195894	8.78	12	Cell membrane	NA	PE1	16
NX_Q7Z444	233	25287	6.1	0	Cell membrane	NA	PE2	X
NX_Q7Z449	544	61987	8.63	5	Golgi apparatus;Cytoplasmic vesicle;Endoplasmic reticulum membrane;Microsome membrane;Nucleoplasm	Spastic paraplegia 56, autosomal recessive	PE1	4
NX_Q7Z460	1538	169451	9.14	0	trans-Golgi network;Centrosome;Kinetochore;Cytoskeleton;Spindle	NA	PE1	2
NX_Q7Z465	357	39713	5.26	0	NA	NA	PE1	1
NX_Q7Z478	1369	155236	8.3	0	Cytosol;Cytoplasm	NA	PE1	5
NX_Q7Z494	1330	150864	6.31	0	Cilium	Meckel syndrome 7;Renal-hepatic-pancreatic dysplasia 1;Nephronophthisis 3	PE1	3
NX_Q7Z4B0	112	12600	9.98	0	Secreted	NA	PE5	18
NX_Q7Z4F1	713	76193	5.3	1	Membrane;Coated pit;Nucleus;Nucleolus	NA	PE1	14
NX_Q7Z4G1	85	9638	5.69	0	Cytoplasm;Nucleus	NA	PE1	13
NX_Q7Z4G4	463	53421	7.65	0	Nucleus	NA	PE1	6
NX_Q7Z4H3	204	23390	5.33	0	Nucleolus;Nucleus	NA	PE1	6
NX_Q7Z4H4	148	15865	11.81	0	Secreted	NA	PE2	22
NX_Q7Z4H7	955	108621	6.04	0	Cytosol;Microtubule organizing center;Nucleus speckle;Cytoskeleton;Spindle;Centrosome	NA	PE1	9
NX_Q7Z4H8	507	58572	8.42	0	Cytoplasmic vesicle;Nucleoplasm;Endoplasmic reticulum lumen	NA	PE1	11
NX_Q7Z4H9	259	28021	8.86	0	Cytoplasmic vesicle;Nucleus	NA	PE2	7
NX_Q7Z4I7	341	38916	8.44	0	Focal adhesion;Nucleus;Focal adhesion;Cell membrane	Limb-girdle muscular dystrophy 2W	PE1	2
NX_Q7Z4J2	308	36274	9.37	1	Membrane	NA	PE2	9
NX_Q7Z4K8	759	83424	7.99	0	Cytosol;Cytoskeleton;Axon;Cytoskeleton	NA	PE1	1
NX_Q7Z4L0	72	8129	12.08	1	Mitochondrion inner membrane	NA	PE2	14
NX_Q7Z4L5	1316	150937	6.53	0	Mitochondrion;Cilium axoneme	Nephronophthisis 12;Joubert syndrome 11;Short-rib thoracic dysplasia 4 with or without polydactyly;Bardet-Biedl syndrome	PE1	2
NX_Q7Z4L9	355	40902	6.81	0	Centrosome;Cytoskeleton	NA	PE2	8
NX_Q7Z4M0	266	29155	5.48	0	NA	NA	PE1	15
NX_Q7Z4N2	1603	182178	6.4	9	Cytosol;Cell membrane;Nucleoplasm	Night blindness, congenital stationary, 1C	PE1	15
NX_Q7Z4N8	544	61126	6.05	0	Endoplasmic reticulum lumen	NA	PE1	11
NX_Q7Z4P5	450	46950	9.9	0	Secreted	NA	PE1	2
NX_Q7Z4Q2	680	74583	5.02	0	Cytosol;Nucleus	NA	PE1	16
NX_Q7Z4R8	191	20772	4.75	0	Secreted	NA	PE1	6
NX_Q7Z4S6	1674	187179	6.05	0	Cell membrane;Cytoskeleton;Cytosol	Fibrosis of extraocular muscles, congenital, 1	PE1	12
NX_Q7Z4S9	175	19279	9.18	0	NA	NA	PE2	2
NX_Q7Z4T8	443	51427	8.88	1	Late endosome membrane	NA	PE2	7
NX_Q7Z4T9	603	70999	7.34	0	Cytoplasm;Mitochondrion;Cilium axoneme	NA	PE1	3
NX_Q7Z4U5	140	16243	10.39	0	NA	NA	PE2	6
NX_Q7Z4V0	828	91836	9.49	0	Cytosol;Nucleus;Nucleoplasm	NA	PE1	10
NX_Q7Z4V5	671	74317	7.11	0	Nucleoplasm;Nucleus	NA	PE1	19
NX_Q7Z4W1	244	25913	8.33	0	Nucleolus;Cytoskeleton;Membrane	Pentosuria	PE1	17
NX_Q7Z4W2	148	16656	8.04	0	Secreted	NA	PE1	10
NX_Q7Z4W3	81	8247	8.57	0	NA	NA	PE3	21
NX_Q7Z4Y8	100	11037	9.91	0	Mitochondrion membrane	NA	PE5	22
NX_Q7Z553	956	107436	6.88	0	Cell membrane	NA	PE1	14
NX_Q7Z569	592	67305	5.64	0	Cytosol;Cytoplasm;Nucleus membrane	NA	PE1	12
NX_Q7Z570	1209	136888	8.19	0	Endoplasmic reticulum	NA	PE2	2
NX_Q7Z572	469	52207	6.74	0	Cytosol;Cytoplasmic vesicle	NA	PE2	1
NX_Q7Z589	1322	141468	9.37	0	Nucleus;Nucleoplasm	NA	PE1	11
NX_Q7Z591	1439	155139	5.91	0	Centrosome;Nucleus;Nucleoplasm	NA	PE1	9
NX_Q7Z5A4	293	32006	6.93	0	Secreted	NA	PE1	3
NX_Q7Z5A7	132	14301	9.32	1	Membrane;Secreted	NA	PE1	22
NX_Q7Z5A8	133	14776	8.71	0	Secreted	NA	PE2	1
NX_Q7Z5A9	133	14901	8.49	0	Endoplasmic reticulum;Secreted	NA	PE1	3
NX_Q7Z5B4	369	41092	5.04	1	Endoplasmic reticulum membrane;Golgi apparatus membrane	NA	PE1	11
NX_Q7Z5D8	188	22750	9.73	0	Nucleus	NA	PE2	12
NX_Q7Z5G4	137	15824	6.6	0	Golgi apparatus membrane	NA	PE1	8
NX_Q7Z5H3	698	76779	8.4	0	Cell membrane;Nucleoplasm;Cytosol;Cytoplasm;Nucleus	NA	PE1	10
NX_Q7Z5H4	357	40779	9.35	7	Cell membrane	NA	PE2	1
NX_Q7Z5H5	301	33557	9.58	7	Cell membrane	NA	PE2	19
NX_Q7Z5J1	315	34288	9.76	0	Cytoplasmic vesicle;Secreted	NA	PE2	19
NX_Q7Z5J4	1906	203352	9.03	0	Nucleoplasm;Cytoplasm;Nucleus	Smith-Magenis syndrome	PE1	17
NX_Q7Z5J8	1434	162026	8.39	1	Nucleus;Microtubule organizing center;Membrane	NA	PE1	2
NX_Q7Z5K2	1190	132946	5.27	0	Nucleus;Cytoplasm;Chromosome	NA	PE1	10
NX_Q7Z5L0	202	21534	4.9	0	Secreted	NA	PE1	17
NX_Q7Z5L2	792	87884	5.01	0	Nucleus speckle;Nucleoplasm	NA	PE1	10
NX_Q7Z5L3	287	29468	5.5	0	Secreted	NA	PE1	2
NX_Q7Z5L4	167	19186	6.44	0	Mitochondrion outer membrane	NA	PE1	11
NX_Q7Z5L7	613	68976	6.51	0	Extracellular matrix;Cytoplasm	NA	PE1	1
NX_Q7Z5L9	587	61025	9	0	Nucleus;Nucleoplasm;Cytoplasm	NA	PE1	1
NX_Q7Z5M5	1100	125685	9.28	10	Membrane;Cytosol	NA	PE2	15
NX_Q7Z5M8	362	40776	8.57	0	Nucleus	NA	PE2	14
NX_Q7Z5N4	2213	242112	5.99	1	Cytosol;Cell membrane;Synapse	NA	PE1	7
NX_Q7Z5P4	300	33655	9.14	0	Secreted;Golgi apparatus;Cytoplasmic vesicle	NA	PE1	4
NX_Q7Z5P9	8384	805253	4.97	0	Secreted	NA	PE1	12
NX_Q7Z5Q1	589	64944	6.78	0	Nucleoplasm;Cytosol;Cytoplasm	NA	PE1	4
NX_Q7Z5Q5	900	100307	8.57	0	Nucleus;Nucleoplasm	NA	PE1	4
NX_Q7Z5R6	666	73183	5.39	0	Cytosol;Cell membrane;Cell membrane;Lamellipodium;Focal adhesion;Cytoskeleton	NA	PE1	10
NX_Q7Z5S9	345	37653	6.63	10	Mitochondrion;Membrane	NA	PE2	4
NX_Q7Z5U6	358	38989	6.07	0	Cell membrane;Cytosol	NA	PE1	3
NX_Q7Z5V6	425	47295	8.74	0	NA	NA	PE1	11
NX_Q7Z5W3	292	33200	6.22	0	Cytoplasm;Cytosol;Nucleus	NA	PE1	12
NX_Q7Z5Y6	402	44798	9.06	0	Secreted	NA	PE2	1
NX_Q7Z5Y7	419	47480	5.16	0	Nucleus speckle;Endoplasmic reticulum;Cytoplasm	NA	PE1	6
NX_Q7Z601	462	51106	9.52	7	Cell membrane;Cell junction;Cell membrane;Cytosol	NA	PE2	17
NX_Q7Z602	305	35464	9.41	7	Cell membrane	NA	PE2	7
NX_Q7Z614	316	36178	8.94	0	Early endosome membrane;Cell membrane;Cytoplasm;Nucleus;Nucleoplasm	NA	PE1	16
NX_Q7Z624	323	36128	6.38	0	Nucleus;Cytoplasm;Nucleus;Golgi apparatus	NA	PE1	2
NX_Q7Z628	596	67740	9.31	0	Cytoplasmic vesicle;Nucleus;Cytoplasm;Nucleus	NA	PE1	10
NX_Q7Z692	300	32638	5.74	1	Mitochondrion;Membrane;Nucleus;Nucleolus	NA	PE2	19
NX_Q7Z695	626	68982	9.03	1	Centrosome;Membrane;Cytosol	NA	PE1	7
NX_Q7Z698	418	47558	6.32	0	Cytosol;Cell membrane;Cytoplasm;Nucleoplasm;Secretory vesicle membrane	NA	PE1	2
NX_Q7Z699	444	50477	6.12	0	Nucleus;Cell membrane;Caveola;Nucleus	Neurofibromatosis 1-like syndrome	PE1	15
NX_Q7Z6A9	289	32834	6.09	1	Membrane	NA	PE1	3
NX_Q7Z6B0	441	49971	5.03	0	trans-Golgi network;Golgi apparatus;Nucleoplasm;Membrane;trans-Golgi network membrane	NA	PE1	12
NX_Q7Z6B7	1085	124264	6.36	0	Nucleus speckle	Thyroid cancer, non-medullary, 2	PE1	12
NX_Q7Z6E9	1792	201564	9.65	0	Nucleolus;Nucleus speckle;Chromosome;Centrosome	NA	PE1	16
NX_Q7Z6G3	386	43194	5.33	0	Dendrite;Cytoplasm;Cytoplasmic vesicle;Cell membrane;Axon	NA	PE1	16
NX_Q7Z6G8	1248	138066	5.93	0	Cytoplasmic vesicle;Cell membrane;Cajal body;Cytoplasm;Cytosol;Nucleus;Postsynaptic density;Dendritic spine	NA	PE1	12
NX_Q7Z6I5	190	20418	5.23	0	Mitochondrion;Cell membrane;Nucleoplasm;Cytosol	NA	PE1	3
NX_Q7Z6I6	1101	118582	4.75	0	Cytoplasmic vesicle;Cytoplasmic vesicle	NA	PE1	1
NX_Q7Z6I8	188	20132	9.87	0	Nucleus	NA	PE1	5
NX_Q7Z6J0	888	93129	8.85	0	trans-Golgi network;Cytoplasmic vesicle;Cytoskeleton;Perinuclear region;Cytoplasm;Lamellipodium	NA	PE1	4
NX_Q7Z6J2	395	42623	9.01	0	Cytoplasmic vesicle;Nucleus;Cell membrane;Postsynaptic cell membrane;Perinuclear region	NA	PE1	12
NX_Q7Z6J4	655	74892	6.51	0	Cytoskeleton;Cytoplasm;Nucleus;Early endosome;Early endosome membrane;Ruffle membrane	NA	PE1	6
NX_Q7Z6J6	570	65065	8.62	1	Membrane;Centrosome;Golgi apparatus;Adherens junction	NA	PE1	15
NX_Q7Z6J8	389	43657	8.51	0	Cytoplasm;Cytoplasm	NA	PE1	6
NX_Q7Z6J9	526	58819	8.04	0	Nucleus;Nucleolus	Pontocerebellar hypoplasia 5;Pontocerebellar hypoplasia 2A;Pontocerebellar hypoplasia 4	PE1	17
NX_Q7Z6K1	395	45416	6.26	0	Nucleus;Nucleus	NA	PE1	7
NX_Q7Z6K3	402	46405	6.5	0	Cytoplasm;Microtubule organizing center	NA	PE1	9
NX_Q7Z6K4	114	12492	6.82	0	Nucleoplasm;Cytosol	NA	PE2	9
NX_Q7Z6K5	226	24943	5.57	0	Lamellipodium	NA	PE1	15
NX_Q7Z6L0	340	34945	4.64	2	Cell membrane;Synapse;Cell membrane	Seizures, benign familial infantile, 2;Episodic kinesigenic dyskinesia 1;Convulsions, familial infantile, with paroxysmal choreoathetosis	PE1	16
NX_Q7Z6L1	1165	129696	5.83	0	Cytoplasmic vesicle;Lysosome membrane;Autophagosome membrane	NA	PE1	7
NX_Q7Z6M1	372	40565	5.8	0	Cell membrane;Cytoplasm;Endosome membrane	NA	PE1	9
NX_Q7Z6M2	555	62630	6.95	0	Nucleoplasm	NA	PE1	14
NX_Q7Z6M3	343	38735	7.91	1	Cell membrane	NA	PE1	17
NX_Q7Z6M4	381	43958	4.71	0	Cytosol;Mitochondrion;Mitochondrion	NA	PE1	2
NX_Q7Z6P3	723	77638	4.83	0	Cell membrane	NA	PE1	6
NX_Q7Z6R9	452	49578	8.41	0	Nucleus	NA	PE1	6
NX_Q7Z6V5	191	21046	6.34	0	Cytosol;Golgi apparatus;Nucleoplasm	NA	PE1	6
NX_Q7Z6W1	182	20071	8.9	1	Membrane	NA	PE1	1
NX_Q7Z6W7	309	35434	5.34	0	NA	NA	PE2	22
NX_Q7Z6Z6	429	47912	6.31	0	NA	NA	PE2	22
NX_Q7Z6Z7	4374	481891	5.1	0	Nucleoplasm;Cytosol;Cytoplasm;Nucleus	Mental retardation, X-linked, syndromic, Turner type;Mental retardation, X-linked 17	PE1	X
NX_Q7Z713	158	16872	5.75	0	Nucleus;Cytoplasm;Nucleus;Cytosol;Mitochondrion	NA	PE2	4
NX_Q7Z736	793	85317	8.07	0	Golgi apparatus	NA	PE1	17
NX_Q7Z739	585	63861	9.07	0	Cytoplasm;Nucleus speckle;Cytosol;Nucleus membrane;Cytosol	NA	PE1	8
NX_Q7Z745	1585	180781	5.9	0	Cytoplasm;Acrosome;Flagellum	NA	PE1	5
NX_Q7Z769	313	35066	9.29	9	Membrane	NA	PE2	12
NX_Q7Z794	578	61901	5.73	0	Nucleus membrane;Cell membrane	NA	PE1	12
NX_Q7Z7A1	2325	268886	5.44	0	Cytosol;Centrosome;Midbody ring;Centrosome	NA	PE1	9
NX_Q7Z7A3	348	36450	9.48	0	Cytoplasm	NA	PE1	19
NX_Q7Z7A4	578	64950	9.41	0	Cell membrane;Microtubule organizing center;Cytosol;Cell membrane;Cytoplasm	NA	PE1	3
NX_Q7Z7B0	1213	138109	8.46	0	Cell membrane;Cytoskeleton;Cytoskeleton	NA	PE1	6
NX_Q7Z7B1	504	56882	9.31	12	Cell membrane;Endoplasmic reticulum membrane	Hyperphosphatasia with mental retardation syndrome 5	PE1	17
NX_Q7Z7B7	95	10610	9.72	0	Secreted	NA	PE1	20
NX_Q7Z7B8	93	10650	9.08	0	Secreted	NA	PE2	20
NX_Q7Z7C7	330	36908	4.97	0	Cytoplasm;Nucleus	NA	PE1	7
NX_Q7Z7C8	310	34262	6.03	0	Nucleus;Cytoplasm;Nucleus	NA	PE1	6
NX_Q7Z7D3	282	30878	5.2	1	Focal adhesion;Cell junction;Cell membrane;Cell membrane	NA	PE1	1
NX_Q7Z7E8	422	46127	4.96	0	Centrosome;Nucleoplasm;Cytosol;Nucleus;Filopodium	NA	PE1	1
NX_Q7Z7F0	614	64845	8.84	0	Nucleus;Cytoplasm;Nucleoplasm	NA	PE1	1
NX_Q7Z7F7	128	15128	11.15	0	Mitochondrion	NA	PE1	1
NX_Q7Z7G0	1075	118642	9.48	0	Nucleolus;Centrosome;Nucleus speckle;Cytosol;Secreted	NA	PE1	3
NX_Q7Z7G1	428	49554	9.11	0	Cytoplasmic vesicle	NA	PE1	4
NX_Q7Z7G2	160	18336	4.54	0	Membrane;Synapse	NA	PE1	18
NX_Q7Z7G8	4022	448664	6.03	0	Cell junction	Cohen syndrome	PE1	8
NX_Q7Z7H3	387	43900	5.28	0	Cytoskeleton;Cell membrane;Cytoplasm;Nucleus	NA	PE1	2
NX_Q7Z7H5	227	25943	8.41	1	Endoplasmic reticulum membrane	NA	PE1	7
NX_Q7Z7H8	261	29283	9.63	0	Mitochondrion;Mitochondrion	NA	PE1	17
NX_Q7Z7J5	298	33784	9.35	0	Nucleus;Nucleus	NA	PE1	3
NX_Q7Z7J7	247	27007	6.85	4	Golgi apparatus;Nucleus;Membrane	NA	PE1	3
NX_Q7Z7J9	78	8553	5.22	0	Synaptosome;Postsynaptic density	NA	PE1	1
NX_Q7Z7K0	106	12490	8.89	0	Mitochondrion	NA	PE1	3
NX_Q7Z7K2	595	65124	9.12	0	Nucleus;Mitochondrion	NA	PE1	7
NX_Q7Z7K6	275	29946	9.78	0	Cytosol;Kinetochore;Nucleus;Spindle;Nucleoplasm	NA	PE1	17
NX_Q7Z7L1	901	102836	8	0	Nucleus;Nucleoplasm;Nucleus	NA	PE1	17
NX_Q7Z7L7	766	88169	5.43	0	Cytosol	NA	PE1	9
NX_Q7Z7L8	435	46114	10.04	0	Cytosol;Nucleus;Focal adhesion	NA	PE1	11
